Player,Primary_Position,Pos,Age,G,MP,Offensive_Score,Defensive_Score,Teamwork_Score,Stamina_Score,Overall_Score,Salary_2023_2024,Value_Score
Ousmane Dieng,PF,PF,20,33.0,11.1,37.9,28.52,39.81,20.29,32.51,5027040,6.47
Moses Brown,C,C,24,22.0,9.1,31.59,35.76,35.24,25.19,32.26,426632,75.62
Terry Taylor,PF,PF,24,31.0,6.1,46.88,22.66,31.79,22.36,32.15,119972,267.98
Braxton Key,SF,SF,26,20.0,3.0,46.24,24.2,32.52,19.63,31.98,11997,2665.67
Kobe Bufkin,SG,SG,20,17.0,11.5,29.16,33.91,45.66,16.08,31.86,4299000,7.41
Colin Castleton,C,C,23,16.0,3.7,62.32,15.57,24.93,14.15,31.65,421081,75.16
Julian Strawther,SF,SF,21,50.0,10.9,33.3,24.51,41.76,25.15,31.59,2552520,12.38
Alex Len,C,C,30,48.0,9.3,36.36,36.99,31.23,17.99,31.56,2831348,11.15
Tristan Thompson,C,C,32,49.0,11.2,34.67,34.84,37.72,14.48,31.44,2087519,15.06
Jaden Springer,PG,PG,21,37.89795918367347,10.321428571428571,33.82,32.06,35.04,21.74,31.27,4772772,6.55
Kobe Brown,PF,PF,24,44.0,9.0,32.63,23.58,40.55,26.74,31.17,2533920,12.3
Rayan Rupert,SG,SG,19,39.0,16.2,21.65,27.75,47.47,28.78,31.06,1891857,16.42
Jalen McDaniels,SF,SF,26,50.0,10.8,26.57,28.05,38.21,30.08,30.55,4861772,6.28
Brandon Boston Jr.,SF,SF,22,32.0,10.8,35.77,25.74,36.47,20.34,30.35,596581,50.87
Ryan Rollins,PG,PG,21,10.692307692307692,6.0,37.15,36.98,28.35,14.08,30.29,1091887,27.74
Chuma Okeke,SF,SF,25,47.0,9.2,23.17,29.9,37.47,30.32,29.86,355687,83.95
Gabe Vincent,PG,PG,27,11.0,19.8,17.51,21.73,57.99,19.61,29.1,11000000,2.65
Andre Jackson Jr.,SG,SG,22,57.0,10.0,31.83,21.58,34.25,27.84,29.07,1891857,15.37
Brandon Williams,PG,PG,24,17.0,6.6,34.08,22.2,36.49,20.33,28.96,47989,603.47
P.J. Tucker,PF,PF,38,28.29032258064516,15.688709677419356,21.67,32.95,45.16,14.0,28.83,12025777,2.4
Garrett Temple,SG,SG,37,27.0,10.7,34.64,26.2,39.75,9.26,28.73,2087519,13.76
Patty Mills,PG,PG,35,24.28125,12.978125,27.81,26.87,45.16,10.28,28.41,2087519,13.61
Isaiah Mobley,PF,PF,24,10.0,7.2,32.53,20.96,38.85,18.21,28.35,11997,2363.09
Jordan Walsh,SF,SF,19,9.0,9.2,25.0,34.84,36.36,14.33,28.17,1891857,14.89
Julian Phillips,SF,SF,20,40.0,8.1,35.2,20.66,33.19,20.38,28.1,1891857,14.85
