Player,Pos,Age,G,MP,Offensive_Score,Defensive_Score,Teamwork_Score,Stamina_Score,Overall_Score
Bogdan Bogdanovic,SG,31,79.0,30.4,63.49,51.33,75.19,67.56,64.19
Jonathan Kuminga,PF,21,74.0,26.3,73.12,53.18,65.14,63.05,64.13
Kentavious Caldwell-Pope,SG,30,76.0,31.599999999999998,58.0,53.64,72.93,75.09,64.06
Tre Jones,PG,24,77.0,27.799999999999997,56.12,54.26,78.4,70.1,64.02
Immanuel Quickley,PG,24,51.23529411764706,29.198529411764707,66.97,50.33,78.1,58.38,63.87
Alex Caruso,SG,29,71.0,28.7,50.9,73.83,70.62,60.51,63.48
Isaiah Stewart,PF,22,46.0,30.9,56.23,66.9,67.94,63.17,63.21
Collin Sexton,SG,25,78.0,26.6,74.11,34.22,72.67,71.16,63.19
Naz Reid,C,24,81.0,24.2,60.49,70.44,59.25,62.24,63.02
Wendell Carter Jr.,C,24,55.0,25.6,62.66,64.12,62.97,61.67,62.9
Jeremy Sochan,PF,20,74.0,29.6,46.82,64.28,72.04,70.9,62.31
Mike Conley,PG,36,76.0,28.900000000000002,57.66,50.4,80.04,61.34,62.18
Aaron Nesmith,SF,24,72.0,27.7,67.14,46.4,67.05,68.28,62.16
Harrison Barnes,PF,31,82.0,29.0,68.03,41.31,69.39,69.67,62.02
Cameron Johnson,PF,27,58.0,27.6,61.05,53.33,70.41,63.83,62.02
Jordan Poole,SG,24,78.0,30.1,55.66,38.69,74.55,83.45,61.7
Klay Thompson,SF,33,77.0,29.700000000000003,64.31,49.33,71.25,60.67,61.57
Santi Aldama,PF,23,61.0,26.5,48.66,75.99,67.48,55.48,61.56
Luguentz Dort,SF,24,79.0,28.4,58.57,45.78,67.21,77.52,61.32
Caris LeVert,SG,29,68.0,28.8,53.74,63.51,77.08,49.62,61.19
Obi Toppin,PF,25,82.0,21.1,72.72,49.48,58.46,61.72,61.14
Ayo Dosunmu,SG,24,76.0,29.099999999999998,61.13,43.78,71.35,69.03,60.93
Malik Beasley,SG,27,79.0,29.6,54.65,44.39,70.56,78.34,60.8
Gary Trent Jr.,SG,25,71.0,28.1,58.79,48.09,70.71,67.18,60.77
De'Andre Hunter,SF,26,57.0,29.5,67.28,45.32,66.51,62.45,60.63
Dennis Schrï¿½der,PG,30,61.5125,31.10375,55.26,41.32,81.95,62.98,59.99
Jalen Suggs,SG,22,75.0,27.0,54.9,53.8,64.03,69.4,59.81
Khris Middleton,SF,32,55.0,27.0,60.82,53.64,72.38,49.89,59.73
